"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1049354.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",2167900.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1048966.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",4141492.000000,4655559175776791,4655559175927833
13,13,4,1,121187,121187,16777216,19,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559175776791,4655559175927833
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1050378.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",8018908.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1049478.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",8019250.000000,4655559176399038,4655559176665601
14,14,4,1,121187,121187,16777216,17,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559176399038,4655559176665601
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1052426.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",15982870.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1050502.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",15984236.000000,4655559177137606,4655559177630412
15,15,4,1,121187,121187,16777216,23,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4655559177137606,4655559177630412
